tag,entityx1update
                  10,               540
                  25,              1277
                  50,              2585
                 100,              4886
                 200,              9497
                 400,             19031
                 800,             36315
                1600,             71867
                3200,            142280
                5000,            225345
               10000,            449651
               30000,           1337696
              100000,           4616436
              500000,          24197744
             1000000,          51031245
             2000000,         107560930
             5000000,         298343756
            10000000,         601642292
            20000000,        1947695079
