;Anax;Artemis;EntityX (master);EntityX (experimental/compile_time);EnTT;Ginseng
Update  1M entities with 2 Systems;0.110s;88.062s;0.038s;0.018s;0.007s;0.007s
Update  2M entities with 2 Systems;0.260s;N/A;0.078s;0.035s;0.014s;0.015s
Update  5M entities with 2 Systems;N/A;N/A;0.218s;0.091s;0.036s;0.038s
Update 10M entities with 2 Systems;N/A;N/A;0.442s;0.202s;0.079s;0.079s
Update 20M entities with 2 Systems;N/A;N/A;1.255s;0.404s;0.148s;0.167s
